Period,Strategy,CAGR,Volatility,Sharpe_rf0,Max_drawdown,Calmar,QQQ_exposure,Annual_turnover
Development 2016-2019,QQQ buy & hold,0.20817802711533884,0.16810031012180976,1.2095743371116996,-0.22791749370077452,0.9133920513738581,1.0,0.0
Development 2016-2019,BTC gate,0.12772552972653384,0.0904589595904245,1.3743511011520124,-0.10983203390717389,1.1629169121504468,0.4833729216152019,16.760095011876484
Development 2016-2019,BTC + QQQ confirm,0.07623356949190696,0.07945778936239016,0.9645330700190214,-0.11618887364870856,0.6561176393050807,0.3919239904988123,16.760095011876484
Development 2016-2019,Regime score,0.14525263988344528,0.0775800884653872,1.7875062303927054,-0.07452487484555059,1.9490490951440678,0.49406175771971494,17.65795724465558
Development 2016-2019,Regime score + experimental anti-fiat cap,0.14341500415186492,0.07543231437472661,1.8149208892245074,-0.07452487484555081,1.924391076792622,0.47624703087885983,18.256532066508314
Validation 2020-2022,QQQ buy & hold,0.08485111560766767,0.2968165880341929,0.42337554487695395,-0.351225256748232,0.24158603055272673,1.0,0.0
Validation 2020-2022,BTC gate,0.1617587599896646,0.1550152549506269,1.0447737717683458,-0.13224744704194458,1.2231522317278458,0.4298941798941799,17.333333333333332
Validation 2020-2022,BTC + QQQ confirm,0.11283608882643192,0.13207043261711587,0.8758457348302034,-0.13224744704194458,0.853219410660109,0.376984126984127,16.0
Validation 2020-2022,Regime score,0.08061234884451451,0.13763436106057167,0.6323145507562751,-0.1477123696530137,0.5457386475748669,0.4781746031746032,19.0
Validation 2020-2022,Regime score + experimental anti-fiat cap,0.08061234884451451,0.13763436106057167,0.6323145507562751,-0.1477123696530137,0.5457386475748669,0.4781746031746032,19.0
Holdout 2023-2026,QQQ buy & hold,0.3162825748688258,0.202362268103539,1.4593927731010248,-0.22770816026576302,1.3889821713006936,1.0,0.0
Holdout 2023-2026,BTC gate,0.20532248801004505,0.1253911249179172,1.5524550134409518,-0.12607085534524476,1.6286277066001484,0.4819277108433735,28.153340635268346
Holdout 2023-2026,BTC + QQQ confirm,0.15590050481389706,0.11545538513860512,1.3128835360102238,-0.12607085534524476,1.2366101934262592,0.42825848849945236,28.153340635268346
Holdout 2023-2026,Regime score,0.2143910242781033,0.10544530086810999,1.8954118904709019,-0.08563339371977319,2.5035913557236413,0.5049288061336255,22.633077765607887
Holdout 2023-2026,Regime score + experimental anti-fiat cap,0.21290257161185067,0.1029051585387715,1.9276985959175041,-0.05970734979316883,3.5657682404153372,0.4920591456736035,23.461117196056954
Full sample,QQQ buy & hold,0.2066601150157903,0.22553601172629648,0.9461755782864245,-0.35122525674823335,0.5883976480766848,1.0,0.0
Full sample,BTC gate,0.16573288722053592,0.12524417420350323,1.287318514642501,-0.13224744704194458,1.2532029232138664,0.4667463162086818,21.075268817204304
Full sample,BTC + QQQ confirm,0.11572256918620094,0.11049602449494794,1.0465522357503048,-0.13224744704194458,0.8750457704449864,0.40063719633612105,20.67383512544803
Full sample,Regime score,0.14963775391351897,0.10845752067294137,1.3403689755011958,-0.14771236965301338,1.0130346853484813,0.49322978892871366,19.870967741935484
Full sample,Regime score + experimental anti-fiat cap,0.14850659201264094,0.10705336379000681,1.3473338531301509,-0.14771236965301393,1.0053768168603123,0.4825766626841896,20.372759856630825
