Strategy,CAGR,Volatility,Sharpe_rf0,Max_drawdown,Calmar,QQQ_exposure,Annual_turnover
QQQ buy & hold,0.2066601150157903,0.22553601172629648,0.9461755782864245,-0.35122525674823335,0.5883976480766848,1.0,0.0
BTC gate,0.16573288722053592,0.12524417420350323,1.287318514642501,-0.13224744704194458,1.2532029232138664,0.4667463162086818,21.075268817204304
BTC + QQQ confirm,0.11572256918620094,0.11049602449494794,1.0465522357503048,-0.13224744704194458,0.8750457704449864,0.40063719633612105,20.67383512544803
Regime score,0.14963775391351897,0.10845752067294137,1.3403689755011958,-0.14771236965301338,1.0130346853484813,0.49322978892871366,19.870967741935484
Regime score + experimental anti-fiat cap,0.14850659201264094,0.10705336379000681,1.3473338531301509,-0.14771236965301393,1.0053768168603123,0.4825766626841896,20.372759856630825
